Title,Rating,Oscars,Total Nominations and Awards,Director,Gross,MPAA Rating,Users Reviews Count,Critics Reviews Count,Ratings Number
Evolution (2001),6.1,Awards,2 nominations,Ivan Reitman,"$98,376,292",PG-13,471,142,126K
Exit Wounds (2001),5.6,Awards,4 nominations,Andrzej Bartkowiak,"$79,958,599",R,245,112,35K
E.T. the Extra-Terrestrial (1982),7.8,Won 4 Oscars,52 wins & 36 nominations total,Steven Spielberg,"$792,910,554",PG,663,265,390K
Edward Scissorhands (1990),7.9,Nominated for 1 Oscar,9 wins & 24 nominations total,Tim Burton,"$86,024,005",PG-13,719,116,467K
Executive Decision (1996),6.4,Awards,2 wins & 2 nominations,Stuart Baird,"$121,969,216",R,182,71,54K
EverAfter (1998),7.0,Awards,6 wins & 15 nominations,Andy Tennant,"$98,005,666",PG-13,389,46,73K
Edtv (1999),6.1,Awards,2 nominations,Ron Howard,"$35,242,897",PG-13,205,76,43K
Erin Brockovich (2000),7.4,Won 1 Oscar,33 wins & 59 nominations total,Steven Soderbergh,"$256,271,286",R,554,152,188K
From Hell (2001),6.8,Awards,15 nominations,Albert Hughes,"$74,558,115",R,570,185,152K
Frailty (2001),7.2,Awards,5 wins & 16 nominations,Bill Paxton,"$17,423,030",R,549,180,81K
Eight Legged Freaks (2002),5.4,Awards,1 nomination,Ellory Elkayem,2.39 : 1,PG-13,326,199,56K
EuroTrip (2004),6.6,Awards,2 nominations,Jeff Schaffer,"$22,605,153",R,374,82,204K
Evan Almighty (2007),5.4,Awards,2 wins & 11 nominations,Tom Shadyac,"$174,440,724",PG,303,189,144K
Enchanted (2007),7.0,Nominated for 3 Oscars,12 wins & 51 nominations total,Kevin Lima,"$340,487,836",PG,446,233,190K
Extreme Movie (2008),3.7,Nominated for 3 Oscars,12 wins & 51 nominations total,Kevin Lima,"$54,822",PG,446,233,190K
Easy A (2010),7.0,Awards,9 wins & 21 nominations,Will Gluck,"$75,026,327",PG-13,381,281,375K
Full Metal Jacket (1987),8.3,Nominated for 1 Oscar,8 wins & 15 nominations total,Stanley Kubrick,"Jun 28, 1987",R,910,172,707K
Freddy's Dead: The Final Nightmare (1991),4.9,Awards,1 win & 4 nominations,Rachel Talalay,"$34,872,033",R,308,97,45K
Father Hood (1993),4.9,Awards,1 win & 4 nominations,Rachel Talalay,"$3,418,141",R,308,97,45K
Friday (1995),7.3,Awards,1 win & 5 nominations,F. Gary Gray,"$28,215,918",R,209,28,107K
Fear (1996),6.2,Awards,1 win & 2 nominations,James Foley,"$20,831,000",R,193,65,46K
K-PAX (2001),7.4,Awards,3 nominations,Iain Softley,"$65,001,485",PG-13,569,125,180K
Fear and Loathing in Las Vegas (1998),7.6,Awards,1 win & 3 nominations,Terry Gilliam,"$10,680,275",R,746,159,271K
Flawless (1999),6.5,Awards,3 wins & 4 nominations,Joel Schumacher,"$4,488,529",R,113,68,19K
Fight Club (1999),8.8,Nominated for 1 Oscar,11 wins & 38 nominations total,David Fincher,"$101,209,702",R,4.1K,384,2M
Final Destination (2000),6.7,Awards,3 wins & 5 nominations,James Wong,"$112,880,294",R,780,156,243K
Frequency (2000),7.3,Awards,2 wins & 8 nominations,Gregory Hoblit,"$68,106,245",PG-13,561,122,105K
Freddy Got Fingered (2001),4.6,Awards,12 wins & 7 nominations,Tom Green,"$14,343,028",R,725,82,48K
Frailty (2001),7.2,Awards,5 wins & 16 nominations,Bill Paxton,"$17,423,030",R,549,180,81K
From Hell (2001),6.8,Awards,15 nominations,Albert Hughes,"$74,558,115",R,570,185,152K
Friday After Next (2002),5.8,Awards,15 nominations,Albert Hughes,"$33,526,835",R,570,185,152K
Finding Neverland (2004),7.6,Won 1 Oscar,19 wins & 81 nominations total,Marc Forster,"$116,650,613",PG,676,235,203K
Fantastic Four (2005),5.7,Awards,4 wins & 12 nominations,Tim Story,"$333,535,934",PG-13,1K,117,321K
Four Brothers (2005),6.8,Awards,5 wins & 9 nominations,John Singleton,"$92,374,674",R,379,128,141K
Failure to Launch (2006),5.6,Awards,5 nominations,Tom Dey,"$130,224,158",PG-13,283,145,78K
4: Rise of the Silver Surfer (2007),5.6,Awards,3 wins & 17 nominations,Tim Story,"$301,913,131",PG,491,264,258K
Fred Claus (2007),5.6,Awards,3 wins & 17 nominations,Tim Story,"$97,838,349",PG,491,264,258K
First Sunday (2008),4.6,Awards,3 wins & 17 nominations,Tim Story,"$38,810,311",PG,491,264,258K
Fool's Gold (2008),5.7,Awards,5 nominations,Andy Tennant,"$111,231,041",PG-13,174,183,77K
Forgetting Sarah Marshall (2008),7.1,Awards,4 wins & 19 nominations,Nicholas Stoller,"$105,833,257",R,407,255,275K
Four Christmases (2008),5.7,Awards,1 win & 1 nomination,Seth Gordon,"$164,112,721",PG-13,177,148,68K
Funny People (2009),6.3,Awards,3 nominations,Judd Apatow,"$71,585,235",R,346,239,117K
Fanboys (2009),6.6,Awards,3 nominations,Judd Apatow,"$961,203",R,346,239,117K
Fast & Furious (2009),6.6,Awards,6 wins & 2 nominations,Justin Lin,"$360,366,870",PG-13,299,258,277K
Fish Tank (2009),7.3,Awards,21 wins & 29 nominations total,Andrea Arnold,"$2,404,300",Not Rated,134,177,61K
Friends with Benefits (2011),6.5,Awards,1 win & 5 nominations,Will Gluck,"$149,542,245",R,263,243,354K
Final Destination 5 (2011),5.8,Awards,2 wins & 6 nominations,Steven Quale,"$157,887,643",R,302,293,112K
Flypaper (2011),6.4,Awards,2 wins & 6 nominations,Steven Quale,"$4,453,634",R,302,293,112K
"Good Morning, Vietnam (1987)",7.3,Nominated for 1 Oscar,7 wins & 4 nominations total,Barry Levinson,"$123,922,370",R,174,64,134K
Goodfellas (1990),8.7,Won 1 Oscar,44 wins & 38 nominations total,Martin Scorsese,"$46,963,277",R,1.4K,155,1.1M
Geronimo: An American Legend (1993),6.5,Nominated for 1 Oscar,1 win & 2 nominations total,Walter Hill,"$18,635,620",PG-13,62,27,11K
Grace of My Heart (1996),6.7,Awards,3 nominations,Allison Anders,"$660,313",R,47,34,3.8K
Good Will Hunting (1997),8.3,Won 2 Oscars,24 wins & 61 nominations total,Gus Van Sant,"$225,933,435",R,971,166,910K
Great Expectations (1998),6.8,Awards,1 win & 3 nominations,Alfonso Cuarón,"$55,494,066",R,212,85,53K
Gladiator (2000),8.5,Won 5 Oscars,59 wins & 106 nominations total,Ridley Scott,"$465,380,802",R,2.8K,221,1.4M
Girlfight (2000),6.7,Awards,15 wins & 18 nominations,Karyn Kusama,"$1,666,028",R,95,86,11K
Gangster No. 1 (2000),6.7,Awards,1 win & 9 nominations,Paul McGuigan,"$30,915",R,140,62,14K
Get Carter (2000),5.2,Awards,7 nominations,Stephen Kay,"$19,412,993",R,301,105,34K
Gone in Sixty Seconds (2000),6.5,Awards,9 wins & 6 nominations,Dominic Sena,"$237,202,299",PG-13,571,131,270K
Gossip (2000),5.9,Awards,3 nominations,Davis Guggenheim,"$12,591,270",R,115,67,16K
Ghosts of Mars (2001),4.9,Awards,2 nominations,John Carpenter,"$14,010,832",R,495,103,53K
Ghost World (2001),7.3,Nominated for 1 Oscar,28 wins & 56 nominations total,Terry Zwigoff,"$8,764,007",R,530,147,118K
Glitter (2001),2.3,Awards,3 wins & 10 nominations,Vondie Curtis-Hall,2.39 : 1,PG-13,332,75,23K
Gangs of New York (2002),7.5,Nominated for 10 Oscars,50 wins & 135 nominations total,Martin Scorsese,"$193,772,504",R,1.2K,224,424K
Gothika (2003),5.8,Awards,3 wins & 7 nominations,Mathieu Kassovitz,"$141,591,324",R,418,214,111K
Grilled (2006),5.2,Awards,3 wins & 7 nominations,Mathieu Kassovitz,"$46,663",R,418,214,111K
Ghost Town (2008),6.7,Awards,3 wins & 2 nominations,David Koepp,"$27,090,159",PG-13,189,212,72K
Ghosts of Girlfriends Past (2009),5.8,Awards,1 win,Mark Waters,"$102,366,815",PG-13,147,156,88K
G.I. Joe: The Rise of Cobra (2009),5.8,Awards,3 wins & 16 nominations,Stephen Sommers,"$302,469,017",PG-13,580,141,205K
Green Zone (2010),6.8,Awards,6 nominations,Paul Greengrass,"$154,711,438",R,306,271,135K
Grown Ups (2010),6.0,Awards,3 wins & 4 nominations,Dennis Dugan,"$271,457,301",PG-13,406,186,240K
Get Him to the Greek (2010),6.3,Awards,14 nominations,Nicholas Stoller,"$91,720,255",R,232,219,175K
Home Alone (1990),7.6,Nominated for 2 Oscars,11 wins & 6 nominations total,Chris Columbus,"$476,684,675",PG,527,105,517K
Hook (1991),6.8,Nominated for 5 Oscars,7 wins & 22 nominations total,Steven Spielberg,"$300,854,823",PG,457,96,245K
Home Alone 2: Lost in New York (1992),6.8,Awards,3 wins & 3 nominations,Chris Columbus,"$358,994,850",PG,304,68,327K
Higher Learning (1995),6.5,Awards,1 win & 1 nomination,John Singleton,"$38,290,723",R,133,35,19K
Heat (1995),8.2,Awards,14 nominations,Michael Mann,"$187,436,818",R,1.2K,225,615K
Half Baked (1998),6.7,Awards,14 nominations,Michael Mann,"$17,460,020",R,1.2K,225,615K
Here on Earth (2000),5.2,Awards,2 nominations,Mark Piznarski,"$10,873,148",PG-13,162,46,8.5K
Hollow Man (2000),5.8,Nominated for 1 Oscar,7 wins & 14 nominations total,Paul Verhoeven,"$190,213,455",R,676,190,128K
Hannibal (2001),6.8,Awards,9 wins & 25 nominations,Ridley Scott,"$351,692,268",R,1.4K,280,265K
Hard Ball (2001),6.4,Awards,2 nominations,Brian Robbins,"$44,102,389",R,140,81,30K
Harry Potter and the Sorcerer's Stone (2001),7.6,Nominated for 3 Oscars,17 wins & 68 nominations total,Chris Columbus,"$1,012,484,430",PG,1.8K,278,712K
Heartbreakers (2001),6.2,Awards,4 nominations,David Mirkin,"$57,756,408",PG-13,233,98,53K
Hearts in Atlantis (2001),6.9,Awards,2 wins & 8 nominations,Scott Hicks,"$30,919,415",PG-13,299,112,38K
Heist (2001),6.5,Awards,2 wins & 8 nominations,Scott Hicks,"$28,510,652",PG-13,299,112,38K
How High (2001),6.3,Awards,2 wins & 8 nominations,Scott Hicks,"$31,283,740",PG-13,299,112,38K
How to Lose a Guy in 10 Days (2003),6.4,Awards,1 win & 8 nominations,Donald Petrie,"$177,502,387",PG-13,407,122,225K
Hitch (2005),6.6,Awards,4 wins & 24 nominations,Andy Tennant,2.39 : 1,PG-13,424,164,307K
Havoc (2005),5.5,Awards,1 win & 4 nominations,Barbara Kopple,"$371,000",R,160,31,19K
Harold & Kumar Escape from Guantanamo Bay (2008),6.6,Awards,1 win & 1 nomination,Jon Hurwitz,"$43,495,888",R,186,151,135K
Horton Hears a Who! (2008),6.8,Awards,1 win & 18 nominations,Jimmy Hayward,"$298,572,799",G,178,191,135K
How Do You Know (2010),5.4,Awards,3 nominations,James L. Brooks,"$48,668,907",PG-13,314,161,49K
Harry Potter and the Deathly Hallows: Part 1 (2010),7.7,Nominated for 2 Oscars,15 wins & 55 nominations total,David Yates,"$977,043,483",PG-13,740,449,509K
Knockaround Guys (2001),6.1,Awards,2 nominations,Brian Koppelman,"$12,806,614",R,144,59,24K
Hereafter (2010),6.4,Nominated for 1 Oscar,4 wins & 15 nominations total,Clint Eastwood,"$106,956,330",PG-13,362,330,92K
How to Train Your Dragon (2010),8.1,Nominated for 2 Oscars,25 wins & 63 nominations total,Dean DeBlois,"$494,879,471",PG,677,194,700K
Harry Potter and the Deathly Hallows: Part 2 (2011),8.1,Nominated for 3 Oscars,46 wins & 94 nominations total,David Yates,"$1,342,321,665",PG-13,1K,491,812K
Horrible Bosses (2011),6.8,Awards,3 wins & 13 nominations,Seth Gordon,"$209,838,559",R,469,351,435K
Inventing the Abbotts (1997),6.4,Awards,3 wins & 13 nominations,Seth Gordon,"$5,936,344",R,469,351,435K
I Am Sam (2001),7.6,Nominated for 1 Oscar,8 wins & 12 nominations total,Jessie Nelson,"$97,818,139",PG-13,488,119,147K
In the Bedroom (2001),7.4,Nominated for 5 Oscars,39 wins & 75 nominations total,Todd Field,"$44,763,181",R,523,174,40K
Igby Goes Down (2002),6.9,Awards,7 wins & 17 nominations,Burr Steers,"$6,919,198",R,235,133,33K
Invincible (2006),7.1,Awards,2 nominations,Ericson Core,"$58,480,828",PG,165,117,69K
In the Valley of Elah (2007),7.1,Nominated for 1 Oscar,3 wins & 22 nominations total,Paul Haggis,"$29,541,790",R,256,239,72K
I Now Pronounce You Chuck & Larry (2007),5.9,Awards,14 nominations,Dennis Dugan,"$187,134,117",PG-13,277,177,145K
Into the Wild (2007),8.1,Nominated for 2 Oscars,23 wins & 106 nominations total,Sean Penn,2.35 : 1,R,1K,250,599K
Invictus (2009),7.3,Nominated for 2 Oscars,12 wins & 38 nominations total,Clint Eastwood,"$122,426,792",PG-13,320,309,156K
Inception (2010),8.8,Won 4 Oscars,157 wins & 220 nominations total,Christopher Nolan,"$836,836,967",PG-13,4.4K,485,2.2M
It's Kind of a Funny Story (2010),7.1,Awards,2 nominations,Anna Boden,"$6,491,240",PG-13,210,160,141K
In Time (2011),6.7,Awards,2 nominations,Andrew Niccol,"$173,930,596",PG-13,612,377,392K
Immortals (2011),6.0,Awards,1 win & 6 nominations,Tarsem Singh,"$226,904,017",R,457,301,165K
Johnny Handsome (1989),6.1,Awards,3 nominations,Walter Hill,"$7,237,794",R,51,33,9.6K
Jackie Brown (1997),7.5,Nominated for 1 Oscar,8 wins & 24 nominations total,Quentin Tarantino,"$39,673,807",R,594,177,334K
King of the Hill (TV Series 1997–2010),7.3,Won 2 Primetime Emmys,13 wins & 56 nominations total,Greg Daniels,TV-PG,TV-PG,157,18,49K
Jay and Silent Bob Strike Back (2001),6.8,Awards,1 win & 3 nominations,Kevin Smith,"$33,788,161",R,879,174,152K
Jeepers Creepers (2001),6.2,Awards,5 wins & 7 nominations,Victor Salva,"$59,371,303",R,1K,211,121K
Joe Dirt (2001),6.0,Awards,1 win & 3 nominations,Dennie Gordon,"$30,987,695",PG-13,213,63,55K
Jurassic Park III (2001),5.9,Awards,5 wins & 16 nominations,Joe Johnston,"Jul 22, 2001",PG-13,1.3K,234,307K
Jersey Girl (2004),6.2,Awards,2 wins & 8 nominations,Kevin Smith,"$35,492,921",PG-13,372,124,65K
Juno (2007),7.4,Won 1 Oscar,89 wins & 100 nominations total,Jason Reitman,"$232,372,681",PG-13,968,390,506K
Kazaam (1996),3.0,Awards,2 nominations,Paul Michael Glaser,"$18,937,262",PG,111,23,24K
Keeping the Faith (2000),6.4,Awards,2 wins & 6 nominations,Edward Norton,"$59,945,183",PG-13,266,121,51K
Kate & Leopold (2001),6.4,Nominated for 1 Oscar,1 win & 5 nominations total,James Mangold,"$76,019,048",PG-13,352,116,82K
Kiss of the Dragon (2001),6.6,Awards,2 nominations,Chris Nahon,"$64,437,847",R,268,120,63K
Knocked Up (2007),6.9,Awards,8 wins & 26 nominations,Judd Apatow,"$219,922,417",R,607,253,361K
Killshot (2008),6.0,Awards,8 wins & 26 nominations,Judd Apatow,"$2,961,647",R,607,253,361K
Kung Fu Panda (2008),7.6,Nominated for 1 Oscar,14 wins & 39 nominations total,Mark Osborne,"$631,746,197",PG,483,278,442K
Kill the Irishman (2011),7.1,Awards,1 nomination,Jonathan Hensleigh,"$1,188,194",R,110,87,48K
Lenny (1974),7.6,Nominated for 6 Oscars,7 wins & 16 nominations total,Bob Fosse,"$352,753",R,70,65,16K
Losing Isaiah (1995),6.5,Awards,1 nomination,Stephen Gyllenhaal,"$7,603,766",R,42,15,5.9K
Little Nicky (2000),5.3,Awards,1 win & 12 nominations,Steven Brill,"$58,292,295",PG-13,281,84,102K
Loser (2000),5.3,Awards,1 nomination,Amy Heckerling,"$18,404,706",PG-13,171,88,29K
Lara Croft: Tomb Raider (2001),5.8,Awards,4 wins & 21 nominations,Simon West,"$274,703,340",PG-13,871,203,205K
Legally Blonde (2001),6.4,Awards,6 wins & 14 nominations,Robert Luketic,"$141,774,679",PG-13,639,144,203K
A Series of Unfortunate Events (2004),6.8,Won 1 Oscar,10 wins & 28 nominations total,Brad Silberling,"$211,468,235",PG,650,180,203K
Ladder 49 (2004),6.5,Awards,1 win & 7 nominations,Jay Russell,"$100,572,044",PG-13,330,106,57K
Lucky You (2007),5.9,Awards,2 nominations,Curtis Hanson,"$8,461,686",PG-13,64,93,20K
Lottery Ticket (2010),5.1,Awards,2 nominations,Curtis Hanson,"$24,719,879",PG-13,64,93,20K
Little Fockers (2010),5.5,Awards,3 wins & 5 nominations,Paul Weitz,"$310,650,585",PG-13,175,181,110K
Limitless (2011),7.4,Awards,2 wins & 8 nominations,Neil Burger,"$161,849,455",PG-13,527,396,549K
Midnight Cowboy (1969),7.8,Won 3 Oscars,28 wins & 16 nominations total,John Schlesinger,"$44,785,053",X,415,136,107K
Mean Streets (1973),7.2,Awards,5 wins & 5 nominations,Martin Scorsese,"$41,131",R,319,138,106K
Made in America (1993),5.1,Awards,1 win & 1 nomination,Richard Benjamin,"$104,942,695",PG-13,27,18,16K
Mr. Holland's Opus (1995),7.3,Nominated for 1 Oscar,5 wins & 5 nominations total,Stephen Herek,2.39 : 1,PG,184,41,38K
Mad Love (1995),5.4,Nominated for 1 Oscar,5 wins & 5 nominations total,Stephen Herek,"$15,453,274",PG,184,41,38K
Milk Money (1994),5.6,Awards,1 nomination,Richard Benjamin,"$18,137,661",PG-13,58,20,12K
Men in Black (1997),7.3,Won 1 Oscar,22 wins & 39 nominations total,Barry Sonnenfeld,"$589,390,539",PG-13,378,165,541K
Meet the Parents (2000),7.0,Nominated for 1 Oscar,7 wins & 15 nominations total,Jay Roach,"$330,444,045",PG-13,537,134,323K
Men of Honor (2000),7.2,Awards,11 nominations,George Tillman Jr.,"$82,343,495",R,260,79,113K
"Me, Myself & Irene (2000)",6.6,Awards,2 wins & 4 nominations,Bobby Farrelly,"$149,270,999",R,527,140,231K
Miss Congeniality (2000),6.3,Awards,7 wins & 8 nominations,Donald Petrie,"$212,742,720",PG-13,420,106,199K
Mission: Impossible II (2000),6.1,Awards,12 wins & 20 nominations,John Woo,"$546,388,108",PG-13,1.5K,238,328K
Monster's Ball (2001),7.0,Won 1 Oscar,15 wins & 23 nominations total,Marc Forster,"$45,011,434",PG-13,1.5K,238,328K
"Monsters, Inc. (2001)",8.1,Won 1 Oscar,15 wins & 38 nominations total,Pete Docter,"$579,707,738",G,745,248,859K
Made (2001),6.4,Awards,1 nomination,Jon Favreau,"$5,480,653",R,179,73,18K
Mulholland Dr. (2001),7.9,Nominated for 1 Oscar,49 wins & 61 nominations total,David Lynch,"$20,416,512",R,2K,253,341K
Men in Black II (2002),6.2,Awards,4 wins & 16 nominations,Barry Sonnenfeld,"Jul 7, 2002",PG-13,664,205,359K
Meet the Fockers (2004),6.3,Awards,2 wins & 7 nominations,Jay Roach,"$522,657,936",PG-13,450,132,263K
Mr. & Mrs. Smith (2005),6.5,Awards,9 wins & 18 nominations,Doug Liman,"$487,287,646",PG-13,862,223,472K
Monster House (2006),6.6,Nominated for 1 Oscar,4 wins & 23 nominations total,Gil Kenan,2.35 : 1,PG,301,182,111K
Mr. Woodcock (2007),5.1,Nominated for 1 Oscar,4 wins & 23 nominations total,Gil Kenan,"$33,683,200",PG,301,182,111K
Mr. Magorium's Wonder Emporium (2007),6.2,Awards,3 nominations,Zach Helm,2.35 : 1,G,156,149,45K
Music and Lyrics (2007),6.5,Awards,6 nominations,Marc Lawrence,"$145,896,422",PG-13,311,160,101K
Milk (2008),7.5,Won 2 Oscars,66 wins & 145 nominations total,Gus Van Sant,"$54,589,558",R,322,255,170K
Middle of Nowhere (2008),6.5,Awards,1 nomination,John Stockwell,Hiçbir yerin ortasında,R,16,18,3.8K
Mr. Nice (2010),6.4,Awards,2 wins,Bernard Rose,"$1,673,840",R,16,18,3.8K
Machete (2010),6.6,Awards,2 wins & 6 nominations,Ethan Maniquis,"$45,491,656",R,417,418,195K
Marmaduke (2010),4.3,Awards,3 nominations,Tom Dey,"$83,761,844",PG,69,100,15K
Megamind (2010),7.3,Awards,2 wins & 16 nominations,Tom McGrath,"$321,885,765",PG,295,244,244K
Moneyball (2011),7.6,Nominated for 6 Oscars,29 wins & 82 nominations total,Bennett Miller,"$110,206,216",PG-13,472,438,397K
Machine Gun Preacher (2011),6.8,Awards,2 nominations,Marc Forster,"$3,338,690",R,144,144,65K
Mr. Popper's Penguins (2011),6.0,Awards,1 win & 3 nominations,Mark Waters,"$187,361,754",PG,138,190,93K
Nowhere to Run (1993),5.7,Awards,1 nomination,Robert Harmon,"$22,189,039",R,76,40,23K
Natural Born Killers (1994),7.3,Awards,5 wins & 11 nominations,Oliver Stone,"$50,283,563",R,663,166,226K
North (1994),4.5,Awards,4 wins & 9 nominations,Rob Reiner,"$7,182,747",PG,125,24,14K
Never Been Kissed (1999),6.1,Awards,2 wins & 8 nominations,Raja Gosnell,2.39:1,PG-13,387,77,88K
Next Friday (2000),6.2,Awards,2 nominations,Steve Carr,"$59,827,328",R,93,17,39K
Nurse Betty (2000),6.2,Awards,5 wins & 14 nominations,Neil LaBute,2.39 : 1,R,265,143,35K
Not Another Teen Movie (2001),5.7,Awards,5 nominations,Joel Gallen,"$66,468,985",R,425,97,102K
Ned Kelly (2003),6.5,Awards,3 wins & 14 nominations,Gregor Jordan,"$6,585,516",R,148,22,27K
National Security (2003),5.6,Awards,3 wins & 14 nominations,Gregor Jordan,"$50,097,949",R,148,22,27K
Night at the Museum (2006),6.4,Awards,2 wins & 8 nominations,Shawn Levy,"$574,481,229",PG,494,174,330K
Night at the Museum: Battle of the Smithsonian (2009),6.0,Awards,2 wins & 9 nominations,Shawn Levy,"$413,106,170",PG,241,178,187K
New Year's Eve (2011),5.7,Awards,2 wins & 8 nominations,Garry Marshall,"$142,044,638",PG-13,177,207,84K
No Strings Attached (2011),6.2,Awards,2 wins & 7 nominations,Ivan Reitman,"$149,228,077",R,235,250,223K
Once Upon a Time in America (1984),8.3,Awards,12 wins & 12 nominations total,Sergio Leone,"$5,473,337",R,763,138,333K
Of Mice and Men (1992),7.5,Awards,1 nomination,Gary Sinise,"$5,471,088",PG-13,219,35,43K
Out of Sight (1998),7.0,Nominated for 2 Oscars,13 wins & 15 nominations total,Steven Soderbergh,"$77,745,966",R,351,157,90K
October Sky (1999),7.8,Awards,4 wins & 11 nominations,Joe Johnston,"$34,698,753",PG,396,98,88K
"O Brother, Where Art Thou? (2000)",7.7,Nominated for 2 Oscars,7 wins & 39 nominations total,Joel Coen,"$71,870,729",PG-13,948,108,300K
O (2001),6.1,Awards,2 nominations,Tim Blake Nelson,"$19,260,537",R,160,78,21K
One Night at McCool's (2001),6.1,Awards,2 nominations,Tim Blake Nelson,"$13,578,186",R,160,78,21K
Original Sin (2001),6.1,Awards,2 nominations,Michael Cristofer,"$35,402,320",R,196,84,56K
Osmosis Jones (2001),6.3,Awards,1 win & 8 nominations,Bobby Farrelly,"$14,026,418",PG,165,81,35K
Ocean's Eleven (2001),7.7,Awards,4 wins & 20 nominations,Steven Soderbergh,"$450,717,150",PG-13,989,125,544K
Old School (2003),7.1,Awards,5 nominations,Todd Phillips,"$87,135,520",R,429,89,224K
Open Range (2003),7.4,Awards,1 win & 5 nominations,Kevin Costner,"$68,296,293",R,546,152,70K
Once Upon a Time in Mexico (2003),6.4,Awards,3 wins & 6 nominations,Robert Rodriguez,"Sep 14, 2003",R,486,162,158K
Ocean's Twelve (2004),6.5,Awards,4 wins & 10 nominations,Steven Soderbergh,"$362,744,280",PG-13,715,210,375K
Ocean's Thirteen (2007),6.9,Awards,1 win & 5 nominations,Steven Soderbergh,"$311,312,624",PG-13,342,254,334K
Observe and Report (2009),5.8,Awards,1 win & 4 nominations,Jody Hill,"$26,973,554",R,287,197,62K
Our Family Wedding (2010),5.1,Awards,4 nominations,Rick Famuyiwa,"$21,409,028",PG-13,27,69,7.1K
Our Idiot Brother (2011),6.4,Awards,4 nominations,Rick Famuyiwa,"$25,804,448",PG-13,27,69,7.1K
Pretty Baby (1978),6.6,Nominated for 1 Oscar,2 wins & 6 nominations total,Louis Malle,"$5,786,368",R,86,34,10K
Platoon (1986),8.1,Won 4 Oscars,24 wins & 15 nominations total,Oliver Stone,"$138,545,632",R,648,144,398K
Poison Ivy (1992),5.4,Awards,2 nominations,Katt Shea,"$1,829,804",R,64,35,18K
Phenomenon (1996),6.4,Awards,7 wins & 8 nominations,Jon Turteltaub,"$152,036,382",PG,138,54,77K
Pay It Forward (2000),7.2,Awards,1 win & 4 nominations,Mimi Leder,"$55,707,411",PG-13,681,133,117K
Pitch Black (2000),7.1,Awards,2 wins & 9 nominations,David Twohy,"$53,187,659",R,854,145,233K
Planet of the Apes (2001),5.7,Awards,11 wins & 32 nominations total,Tim Burton,"$362,211,740",PG-13,1.4K,231,216K
Pearl Harbor (2001),6.2,Won 1 Oscar,14 wins & 51 nominations total,Michael Bay,"$449,220,945",PG-13,2K,168,322K
Pootie Tang (2001),5.3,Awards,1 nomination,Louis C.K.,"$3,313,583",PG-13,139,18,14K
Phone Booth (2002),7.0,Awards,1 win & 8 nominations,Joel Schumacher,"$97,837,138",R,684,195,260K
Panic Room (2002),6.8,Awards,1 win & 9 nominations,David Fincher,"$197,079,546",R,947,233,271K
Pirates of the Caribbean: The Curse of the Black Pearl (2003),8.0,Nominated for 5 Oscars,38 wins & 104 nominations total,Gore Verbinski,"$654,264,015",PG-13,2.2K,190,1.1M
Pirates of the Caribbean: Dead Man's Chest (2006),7.3,Won 1 Oscar,45 wins & 54 nominations total,Gore Verbinski,"$1,066,179,747",PG-13,1.9K,326,681K
Pirates of the Caribbean: At World's End (2007),7.1,Nominated for 2 Oscars,22 wins & 51 nominations total,Gore Verbinski,"$960,996,492",PG-13,1.3K,331,619K
Pineapple Express (2008),6.9,Awards,2 wins & 15 nominations,David Gordon Green,"$101,624,843",R,452,226,328K
Paul Blart: Mall Cop (2009),5.2,Awards,1 win & 3 nominations,Steve Carr,"$183,348,429",PG,258,167,107K
Public Enemies (2009),7.0,Awards,1 win & 14 nominations,Michael Mann,"$214,104,620",R,672,369,292K
Predators (2010),6.4,Awards,2 wins & 4 nominations,Nimród Antal,"$127,233,108",R,736,380,220K
Puncture (2011),6.8,Awards,2 wins,Adam Kassen,"$123,700",R,63,58,24K
Pirates of the Caribbean: On Stranger Tides (2011),6.6,Awards,3 wins & 31 nominations,Rob Marshall,"$1,045,713,802",PG-13,571,473,501K
Paul (2011),7.0,Awards,2 wins & 9 nominations,Greg Mottola,"$97,984,015",R,387,344,245K
Quills (2000),7.3,Nominated for 3 Oscars,18 wins & 45 nominations total,Philip Kaufman,"$17,989,227",R,315,102,53K
Raging Bull (1980),8.2,Won 2 Oscars,24 wins & 28 nominations total,Martin Scorsese,"$23,402,427",R,643,154,338K
Rain Man (1988),8.0,Won 4 Oscars,26 wins & 23 nominations total,Barry Levinson,"$354,825,435",R,489,102,493K
Rudy (1993),7.5,Awards,2 wins & 1 nomination,David Anspaugh,"$22,881,563",PG,203,41,61K
Rebound: The Legend of Earl 'The Goat' Manigault (TV Movie 1996),7.7,Awards,1 win & 3 nominations,Eriq La Salle,Más que un juego,R,13,4,2.9K
Romeo + Juliet (1996),6.7,Nominated for 1 Oscar,15 wins & 29 nominations total,Baz Luhrmann,"$147,554,998",PG-13,585,86,220K
Race the Sun (1996),5.4,Nominated for 1 Oscar,15 wins & 29 nominations total,Baz Luhrmann,"$1,945,552",PG-13,585,86,220K
Ronin (1998),7.3,Awards,1 win & 4 nominations,John Frankenheimer,"$41,616,262",R,647,147,179K
Rounders (1998),7.3,Awards,1 win & 1 nomination,John Dahl,"$22,912,409",R,328,110,147K
Ready to Rumble (2000),5.4,Awards,1 nomination,Brian Robbins,"$12,452,362",PG-13,109,58,14K
